fee_id,place_id,place_name,Foreign_Adult (LKR),Foreign_Child (LKR),Local_Adult (LKR),Local_Child (LKR),Student (LKR),Free_Entry
WE-COL001-FEE,WE-COL001,Colombo National Museum,2000,1000,100,50,50,0
CE-KAN002-FEE,CE-KAN002,Temple of the Tooth,3000,1500,200,100,100,0
SO-GAL003-FEE,SO-GAL003,Galle Fort,2500,1250,150,80,80,0
NO-JAF004-FEE,NO-JAF004,Nallur Kandaswamy Kovil,1000,500,50,30,30,1
NC-ANU005-FEE,NC-ANU005,Sigiriya Rock Fortress,5000,2500,500,200,200,0
CE-NUW006-FEE,CE-NUW006,Gregory Lake,1500,800,100,50,50,1
EA-TRI007-FEE,EA-TRI007,Koneswaram Temple,1200,600,100,50,50,0
SO-MAT008-FEE,SO-MAT008,Dondra Head Lighthouse,800,400,50,30,30,1
UV-BAD009-FEE,UV-BAD009,Diyaluma Falls,1000,500,100,50,50,1
NW-KUR010-FEE,NW-KUR010,Ritigala Forest Monastery,2000,1000,150,80,80,0
CE-KAN011-FEE,CE-KAN011,Udawatta Kele Sanctuary,1200,600,100,50,50,0
SO-GAL012-FEE,SO-GAL012,Mihidu Beach,500,250,0,0,0,1
NO-JAF013-FEE,NO-JAF013,Jaffna Library,1500,800,100,50,50,0
NC-ANU014-FEE,NC-ANU014,Anuradhapura Sacred City,2500,1200,300,150,150,0
CE-NUW015-FEE,CE-NUW015,Horton Plains National Park,2000,1000,200,100,100,0
EA-TRI016-FEE,EA-TRI016,Uppuveli Beach,500,250,0,0,0,1
SO-MAT017-FEE,SO-MAT017,Polhena Reef,800,400,50,30,30,1
UV-BAD018-FEE,UV-BAD018,Mahiyangana Rajamaha Viharaya,1000,500,50,30,30,0
NW-KUR019-FEE,NW-KUR019,Ethugalpura Forest Reserve,1500,800,100,50,50,0
WE-COL020-FEE,WE-COL020,Dehiwala Zoo,2000,1000,150,80,80,0
CE-KAN021-FEE,CE-KAN021,Bahirawakanda Temple,1000,500,50,30,30,0
SO-GAL022-FEE,SO-GAL022,Unawatuna Beach,500,250,0,0,0,1
NO-JAF023-FEE,NO-JAF023,Keerimalai Hot Springs,800,400,50,30,30,0
NC-ANU024-FEE,NC-ANU024,Minneriya National Park,2500,1200,300,150,150,0
CE-NUW025-FEE,CE-NUW025,Victoria Park,500,250,0,0,0,1
EA-TRI026-FEE,EA-TRI026,Fort Frederick,1000,500,50,30,30,0
SO-MAT027-FEE,SO-MAT027,Mirissa Beach,500,250,0,0,0,1
UV-BAD028-FEE,UV-BAD028,Gal Oya National Park,2000,1000,200,100,100,0
NW-KUR029-FEE,NW-KUR029,Herbal Garden,1000,500,50,30,30,0
WE-COL030-FEE,WE-COL030,Viharamahadevi Park,0,0,0,0,0,1
CE-KAN031-FEE,CE-KAN031,Lake Gregory,1500,800,100,50,50,1
SO-HAM032-FEE,SO-HAM032,Mirissa Whale Watching,6000,3000,500,250,250,0
NC-MON033-FEE,NC-MON033,Isurumuniya Temple,1000,500,50,30,30,0
WE-GAM034-FEE,WE-GAM034,Bellanwila Rajamaha Viharaya,800,400,50,30,30,0
EA-BAT035-FEE,EA-BAT035,Kantale Tank,500,250,0,0,0,1
SO-GAM036-FEE,SO-GAM036,Rummana Beach,500,250,0,0,0,1
UV-MAH037-FEE,UV-MAH037,Rawana Falls,1000,500,100,50,50,1
NW-PUT038-FEE,NW-PUT038,Pidurangala Rock,1500,750,150,80,80,0
WE-KAL039-FEE,WE-KAL039,Independence Memorial Hall,0,0,0,0,1,1
CE-KAN040-FEE,CE-KAN040,Peradeniya Botanical Gardens,1500,800,100,50,50,0
SO-HAM041-FEE,SO-HAM041,Weligama Beach,500,250,0,0,0,1
NC-MON042-FEE,NC-MON042,Ruwanwelisaya Stupa,2500,1200,300,150,150,0
WE-GAM043-FEE,WE-GAM043,Borella Cemetery,0,0,0,0,0,1
EA-BAT044-FEE,EA-BAT044,Nilaveli Beach,500,250,0,0,2,1
SO-GAM045-FEE,SO-GAM045,Mulkirigala Rock Temple,1000,500,50,30,30,0
UV-MAH046-FEE,UV-MAH046,Demodara Nine Arch Bridge,0,0,0,0,0,1
NW-PUT047-FEE,NW-PUT047,Mihintale,1000,500,50,30,2,0
WE-KAL048-FEE,WE-KAL048,Galle Face Green,0,0,0,0,0,1
CE-KAN049-FEE,CE-KAN049,Bahirawakanda Buddha Statue,0,0,0,0,0,1
SO-HAM050-FEE,SO-HAM050,Wanamal Beach,500,250,0,0,0,1
NC-MON051-FEE,NC-MON051,Isurumuniya Rock Temple,1000,500,50,30,1,0
WE-GAM052-FEE,WE-GAM052,Kotte Raja Maha Viharaya,800,400,50,30,30,0
EA-BAT053-FEE,EA-BAT053,Fort Frederick Trincomalee,1000,500,50,30,30,0
SO-GAM054-FEE,SO-GAM054,Martin?s Beach,500,250,0,0,0,1
UV-MAH055-FEE,UV-MAH055,Elle Rock,0,0,0,0,3,1
NW-PUT056-FEE,NW-PUT056,Aluvihara Rock Temple,1000,500,50,30,30,0
WE-KAL057-FEE,WE-KAL057,Gangaramaya Temple,1000,500,50,30,30,0
CE-KAN058-FEE,CE-KAN058,Kandy Lake,0,0,0,0,0,1
SO-HAM059-FEE,SO-HAM059,Madiha Beach,500,250,0,0,0,1
NC-MON060-FEE,NC-MON060,Tissa Wewa,0,0,0,0,0,1
WE-COL061-FEE,WE-COL061,Colombo National Museum,1500,800,100,50,50,0
CE-KAN062-FEE,CE-KAN062,Udawattekele Sanctuary,0,0,0,0,0,1
SO-GAM063-FEE,SO-GAM063,Galle Dutch Fort,2000,1000,200,100,100,0
NC-MON064-FEE,NC-MON064,Anuradhapura Sacred City,2000,1000,200,100,100,0
EA-TRI065-FEE,EA-TRI065,Koneswaram Temple,800,400,50,30,30,0
UV-BAD066-FEE,UV-BAD066,Tea Plantations,0,0,0,0,0,1
NW-KUR067-FEE,NW-KUR067,Kurunegala Rock Temple,800,400,50,30,30,0
WE-NEG068-FEE,WE-NEG068,Negombo Beach,0,0,0,0,0,1
CE-MAT069-FEE,CE-MAT069,Dambulla Cave Temple,1500,800,100,50,50,0
SO-HAM070-FEE,SO-HAM070,Matara Fort,500,250,50,30,30,0
NC-MON071-FEE,NC-MON071,Wilpattu National Park,3500,1800,300,150,150,0
WE-COL072-FEE,WE-COL072,Viharamahadevi Park,0,0,0,0,0,1
EA-BAT073-FEE,EA-BAT073,Uppuveli Beach,0,0,0,0,0,1
SO-GAM074-FEE,SO-GAM074,Rumassala Sanctuary,0,0,0,0,0,1
UV-BAD075-FEE,UV-BAD075,Horton Plains National Park,2000,1000,100,50,50,0
NW-PUT076-FEE,NW-PUT076,Mihintale Archeological Site,1000,500,50,30,30,0
WE-KAL077-FEE,WE-KAL077,Dehiwala Zoo,1500,800,100,50,50,0
CE-KAN078-FEE,CE-KAN078,Kandy View Point,0,0,0,0,0,1
SO-HAM079-FEE,SO-HAM079,Weligama Bay,0,0,0,0,0,1
NC-MON080-FEE,NC-MON080,Ranmasu Uyana,0,0,0,0,0,1
EA-TRI081-FEE,EA-TRI081,Koddiyar Bay,0,0,0,0,0,1
UV-BAD082-FEE,UV-BAD082,Baker?s Falls,0,0,0,0,0,1
NW-KUR083-FEE,NW-KUR083,Ridigama Temple,0,0,0,0,0,1
WE-NEG084-FEE,WE-NEG084,St. Mary?s Church,0,0,0,0,0,1
CE-MAT085-FEE,CE-MAT085,Hiriwadunna Village,0,0,0,0,0,1
SO-HAM086-FEE,SO-HAM086,Paravi Duwa Temple,0,0,0,0,0,1
NC-MON087-FEE,NC-MON087,Manankattiya,0,0,0,0,0,1
WE-COL088-FEE,WE-COL088,Colombo Lighthouse,0,0,0,0,0,1
EA-BAT089-FEE,EA-BAT089,Trincomalee Harbor,0,0,0,0,0,1
SO-GAM090-FEE,SO-GAM090,Galle Lighthouse,0,0,0,0,0,1
WE-COL091-FEE,WE-COL091,Galle Face Green,0,0,0,0,0,1
CE-KAN092-FEE,CE-KAN092,Bahirawakanda Temple,0,0,0,0,0,1
SO-HAM093-FEE,SO-HAM093,Dondra Head Lighthouse,0,0,0,0,0,1
NC-MON094-FEE,NC-MON094,Mihintale Sacred Site,1000,500,50,30,30,0
EA-BAT095-FEE,EA-BAT095,Pigeon Island National Park,2500,1250,300,150,150,0
UV-BAD096-FEE,UV-BAD096,Rawana Falls,0,0,0,0,0,1
NW-PUT097-FEE,NW-PUT097,Kurunegala Clock Tower,0,0,0,0,0,1
WE-NEG098-FEE,WE-NEG098,Angurukaramulla Temple,0,0,0,0,0,1
CE-MAT099-FEE,CE-MAT099,Spice Gardens,0,0,0,0,0,1
SO-GAM100-FEE,SO-GAM100,Martin Wickramasinghe Folk Museum,100,50,30,20,20,0
NC-MON101-FEE,NC-MON101,Isurumuniya Temple,0,0,0,0,0,1
WE-COL102-FEE,WE-COL102,Bellanwila Rajamaha Viharaya,0,0,0,0,0,1
EA-TRI103-FEE,EA-TRI103,Fort Frederick,0,0,0,0,0,1
UV-BAD104-FEE,UV-BAD104,Diyaluma Falls,0,0,0,0,0,1
NW-KUR105-FEE,NW-KUR105,Elephant Rock,0,0,0,0,0,1
WE-NEG106-FEE,WE-NEG106,St. Sebastian?s Church,0,0,0,0,0,1
CE-KAN107-FEE,CE-KAN107,Bahirawakanda Buddha Statue,0,0,0,0,0,1
SO-HAM108-FEE,SO-HAM108,Paravi Duwa Island,0,0,0,0,0,1
NC-MON109-FEE,NC-MON109,Atamasthana,0,0,0,0,0,1
EA-BAT110-FEE,EA-BAT110,Uppuveli Beach,0,0,0,0,0,1
UV-BAD111-FEE,UV-BAD111,Haputale Viewpoint,0,0,0,0,0,1
NW-PUT112-FEE,NW-PUT112,Madu River Wetlands,0,0,0,0,0,1
WE-COL113-FEE,WE-COL113,Beira Lake,0,0,0,0,0,1
CE-MAT114-FEE,CE-MAT114,Rock Temple of Dambulla,1500,800,100,50,50,0
SO-GAM115-FEE,SO-GAM115,Unawatuna Beach,0,0,0,0,0,1
NC-MON116-FEE,NC-MON116,Minneriya National Park,3000,1500,250,125,125,0
WE-NEG117-FEE,WE-NEG117,Kosgoda Turtle Hatchery,0,0,0,0,0,1
CE-KAN118-FEE,CE-KAN118,Kandy Lake,0,0,0,0,0,1
SO-HAM119-FEE,SO-HAM119,Yala National Park,3500,1800,300,150,150,0
NC-MON120-FEE,NC-MON120,Polonnaruwa Ancient City,2000,1000,200,100,100,0
WE-COL121-FEE,WE-COL121,Independence Memorial Hall,0,0,0,0,0,1
CE-KAN122-FEE,CE-KAN122,Kandy Royal Botanical Gardens,1500,750,200,100,100,0
SO-HAM123-FEE,SO-HAM123,Matara Fort,0,0,0,0,0,1
NC-MON124-FEE,NC-MON124,Jaya Sri Maha Bodhi,0,0,0,0,0,1
EA-BAT125-FEE,EA-BAT125,Koneswaram Temple,0,0,0,0,0,1
UV-BAD126-FEE,UV-BAD126,Lipton?s Seat,0,0,0,0,0,1
NW-PUT127-FEE,NW-PUT127,Angurukaramulla Temple,0,0,0,0,0,1
WE-NEG128-FEE,WE-NEG128,St. Anne?s Church,0,0,0,0,0,1
CE-MAT129-FEE,CE-MAT129,Dambulla Cave Temple,1500,800,100,50,50,0
SO-GAM130-FEE,SO-GAM130,Japanese Peace Pagoda,0,0,0,0,0,1
NC-MON131-FEE,NC-MON131,Isurumuniya Rock Temple,0,0,0,0,0,1
WE-COL132-FEE,WE-COL132,Viharamahadevi Park,0,0,0,0,0,1
EA-TRI133-FEE,EA-TRI133,Fort Frederick,0,0,0,0,0,1
UV-BAD134-FEE,UV-BAD134,Horton Plains National Park,2500,1250,300,150,150,0
NW-KUR135-FEE,NW-KUR135,Kurunegala Clock Tower,0,0,0,0,0,1
WE-NEG136-FEE,WE-NEG136,Negombo Lagoon,0,0,0,0,0,1
CE-KAN137-FEE,CE-KAN137,Bahirawakanda Buddha Statue,0,0,0,0,0,1
SO-HAM138-FEE,SO-HAM138,Martin Wickramasinghe Folk Museum,100,50,30,20,20,0
NC-MON139-FEE,NC-MON139,Minneriya National Park,3000,1500,250,125,125,0
WE-COL140-FEE,WE-COL140,Gangaramaya Temple,0,0,0,0,0,1
CE-MAT141-FEE,CE-MAT141,Spice Garden,0,0,0,0,0,1
SO-GAM142-FEE,SO-GAM142,Unawatuna Beach,0,0,0,0,0,1
NC-MON143-FEE,NC-MON143,Polonnaruwa Ancient City,2000,1000,200,100,100,0
WE-NEG144-FEE,WE-NEG144,Kosgoda Turtle Hatchery,0,0,0,0,0,1
CE-KAN145-FEE,CE-KAN145,Kandy Lake,0,0,0,0,0,1
SO-HAM146-FEE,SO-HAM146,Yala National Park,3500,1800,300,150,150,0
NC-MON147-FEE,NC-MON147,Polonnaruwa Museum,0,0,0,0,0,1
WE-COL148-FEE,WE-COL148,Bellanwila Rajamaha Viharaya,0,0,0,0,0,1
EA-BAT149-FEE,EA-BAT149,Pigeon Island National Park,2500,1250,300,150,150,0
UV-BAD150-FEE,UV-BAD150,Haputale Viewpoint,0,0,0,0,0,1
WE-COL151-FEE,WE-COL151,Galle Face Green,0,0,0,0,0,1
CE-KAN152-FEE,CE-KAN152,Udawattekele Sanctuary,300,150,50,25,25,0
SO-HAM153-FEE,SO-HAM153,Richmond Castle,300,150,100,50,50,0
NC-MON154-FEE,NC-MON154,Wilpattu National Park,3500,1800,300,150,150,0
EA-BAT155-FEE,EA-BAT155,Kinniya Bridge,0,0,0,0,0,1
UV-BAD156-FEE,UV-BAD156,BP International Butterfly Sanctuary,0,0,0,0,0,1
NW-PUT157-FEE,NW-PUT157,Wilpattu Lake,0,0,0,0,0,1
WE-NEG158-FEE,WE-NEG158,Negombo Beach,0,0,0,0,0,1
CE-MAT159-FEE,CE-MAT159,Ritigala Forest Monastery,0,0,0,0,0,1
SO-GAM160-FEE,SO-GAM160,Galle Lighthouse,0,0,0,0,0,1
NC-MON161-FEE,NC-MON161,Mihintale,0,0,0,0,0,1
WE-COL162-FEE,WE-COL162,Borella Cemetery,0,0,0,0,0,1
EA-TRI163-FEE,EA-TRI163,Marble Beach,0,0,0,0,0,1
UV-BAD164-FEE,UV-BAD164,Lindula Tea Factory,0,0,0,0,0,1
NW-KUR165-FEE,NW-KUR165,Dambadeniya Ancient City,0,0,0,0,0,1
WE-NEG166-FEE,WE-NEG166,Angurukaramulla Temple,0,0,0,0,0,1
CE-KAN167-FEE,CE-KAN167,Udawatta Kele Sanctuary,300,150,50,25,25,0
SO-HAM168-FEE,SO-HAM168,Martin Wickramasinghe Folk Museum,100,50,30,20,20,0
NC-MON169-FEE,NC-MON169,Minneriya National Park,3000,1500,250,125,125,0
WE-COL170-FEE,WE-COL170,Gangaramaya Temple,0,0,0,0,0,1
CE-MAT171-FEE,CE-MAT171,Spice Garden,0,0,0,0,0,1
SO-GAM172-FEE,SO-GAM172,Unawatuna Beach,0,0,0,0,0,1
NC-MON173-FEE,NC-MON173,Polonnaruwa Ancient City,2000,1000,200,100,100,0
WE-NEG174-FEE,WE-NEG174,Kosgoda Turtle Hatchery,0,0,0,0,0,1
CE-KAN175-FEE,CE-KAN175,Kandy Lake,0,0,0,0,0,1
SO-HAM176-FEE,SO-HAM176,Yala National Park,3500,1800,300,150,150,0
NC-MON177-FEE,NC-MON177,Polonnaruwa Museum,0,0,0,0,0,1
WE-COL178-FEE,WE-COL178,Bellanwila Rajamaha Viharaya,0,0,0,0,0,1
EA-BAT179-FEE,EA-BAT179,Pigeon Island National Park,2500,1250,300,150,150,0
UV-BAD180-FEE,UV-BAD180,Haputale Viewpoint,0,0,0,0,0,1
CE-KAN181-FEE,CE-KAN181,Temple of the Sacred Tooth Relic,1500,750,100,50,50,0
SO-HAM182-FEE,SO-HAM182,Fort Galle,2000,1000,150,75,75,0
WE-COL183-FEE,WE-COL183,Viharamahadevi Park,0,0,0,0,0,1
NC-MON184-FEE,NC-MON184,Anuradhapura Ancient City,2000,1000,200,100,100,0
UV-BAD185-FEE,UV-BAD185,Ravana Falls,0,0,0,0,0,1
NW-KUR186-FEE,NW-KUR186,Elephant Rock,0,0,0,0,0,1
EA-BAT187-FEE,EA-BAT187,Koddiyar Bay,0,0,0,0,0,1
SO-GAM188-FEE,SO-GAM188,Martin Wickramasinghe Folk Museum,100,50,30,20,20,0
WE-NEG189-FEE,WE-NEG189,Angurukaramulla Temple,0,0,0,0,0,1
CE-KAN190-FEE,CE-KAN190,Udawatta Kele Sanctuary,300,150,50,25,25,0
NC-MON191-FEE,NC-MON191,Minneriya National Park,3000,1500,250,125,125,0
WE-COL192-FEE,WE-COL192,Gangaramaya Temple,0,0,0,0,0,1
CE-MAT193-FEE,CE-MAT193,Spice Garden,0,0,0,0,0,1
SO-GAM194-FEE,SO-GAM194,Unawatuna Beach,0,0,0,0,0,1
NC-MON195-FEE,NC-MON195,Polonnaruwa Ancient City,2000,1000,200,100,100,0
WE-NEG196-FEE,WE-NEG196,Kosgoda Turtle Hatchery,0,0,0,0,0,1
CE-KAN197-FEE,CE-KAN197,Kandy Lake,0,0,0,0,0,1
SO-HAM198-FEE,SO-HAM198,Yala National Park,3500,1800,300,150,150,0
NC-MON199-FEE,NC-MON199,Polonnaruwa Museum,0,0,0,0,0,1
WE-COL200-FEE,WE-COL200,Bellanwila Rajamaha Viharaya,0,0,0,0,0,1
EA-BAT201-FEE,EA-BAT201,Pigeon Island National Park,2500,1250,300,150,150,0
UV-BAD202-FEE,UV-BAD202,Haputale Viewpoint,0,0,0,0,0,1
NW-PUT203-FEE,NW-PUT203,Wilpattu Lake,0,0,0,0,0,1
WE-NEG204-FEE,WE-NEG204,Negombo Beach,0,0,0,0,0,1
CE-MAT205-FEE,CE-MAT205,Ritigala Forest Monastery,0,0,0,0,0,1
SO-GAM206-FEE,SO-GAM206,Galle Lighthouse,0,0,0,0,0,1
NC-MON207-FEE,NC-MON207,Mihintale,0,0,0,0,0,1
WE-COL208-FEE,WE-COL208,Borella Cemetery,0,0,0,0,0,1
EA-TRI209-FEE,EA-TRI209,Marble Beach,0,0,0,0,0,1
UV-BAD210-FEE,UV-BAD210,Lindula Tea Factory,0,0,0,0,0,1
NC-MON211-FEE,NC-MON211,Medirigiriya Ancient City,2000,1000,200,100,100,0
SO-HAM212-FEE,SO-HAM212,Induruwa Beach,0,0,0,0,0,1
CE-KAN213-FEE,CE-KAN213,Bahirawakanda Temple,0,0,0,0,0,1
WE-COL214-FEE,WE-COL214,Colombo National Museum,1500,750,100,50,50,0
EA-TRI215-FEE,EA-TRI215,Nilaveli Beach,0,0,0,0,0,1
UV-BAD216-FEE,UV-BAD216,Diyaluma Falls,0,0,0,0,0,1
NW-PUT217-FEE,NW-PUT217,Chilaw Beach,0,0,0,0,0,1
NC-MON218-FEE,NC-MON218,Ramba Viharaya,0,0,0,0,0,1
SO-GAM219-FEE,SO-GAM219,Mulkirigala Rock Temple,300,150,50,25,25,0
WE-NEG220-FEE,WE-NEG220,Angurukaramulla Temple,0,0,0,0,0,1
CE-MAT221-FEE,CE-MAT221,Minneriya Tank,0,0,0,0,0,1
SO-HAM222-FEE,SO-HAM222,Martin Wickramasinghe Folk Museum,100,50,30,20,20,0
WE-COL223-FEE,WE-COL223,Galle Face Green,0,0,0,0,0,1
NC-MON224-FEE,NC-MON224,Wilpattu National Park,3500,1800,300,150,150,0
UV-BAD225-FEE,UV-BAD225,Horton Plains National Park,3000,1500,250,125,125,0
EA-TRI226-FEE,EA-TRI226,Koneswaram Temple,0,0,0,0,0,1
NW-KUR227-FEE,NW-KUR227,Mihindu Shrine,0,0,0,0,0,1
SO-HAM228-FEE,SO-HAM228,Galle Dutch Fort,2000,1000,150,75,75,0
WE-COL229-FEE,WE-COL229,Viharamahadevi Park,0,0,0,0,0,1
NC-MON230-FEE,NC-MON230,Arankele Cave Temple,0,0,0,0,0,1
SO-GAM231-FEE,SO-GAM231,Galle Lighthouse,0,0,0,0,0,1
CE-KAN232-FEE,CE-KAN232,Kandy Lake,0,0,0,0,0,1
UV-BAD233-FEE,UV-BAD233,Bahirawa Kanda Temple,0,0,0,0,0,1
WE-NEG234-FEE,WE-NEG234,Negombo Beach,0,0,0,0,0,1
NC-MON235-FEE,NC-MON235,Polonnaruwa Museum,0,0,0,0,0,1
SO-HAM236-FEE,SO-HAM236,Unawatuna Beach,0,0,0,0,0,1
EA-TRI237-FEE,EA-TRI237,Pigeon Island National Park,2500,1250,300,150,150,0
NW-KUR238-FEE,NW-KUR238,Elephant Rock,0,0,0,0,0,1
WE-COL239-FEE,WE-COL239,Gangaramaya Temple,0,0,0,0,0,1
CE-MAT240-FEE,CE-MAT240,Spice Garden,0,0,0,0,0,1
SO-HAM241-FEE,SO-HAM241,Rekawa Turtle Conservation Project,1500,750,100,50,50,0
NC-MON242-FEE,NC-MON242,Isurumuniya Temple,0,0,0,0,0,1
CE-KAN243-FEE,CE-KAN243,Kandy View Point,0,0,0,0,0,1
WE-COC244-FEE,WE-COC244,Colombo Dutch Hospital,0,0,0,0,0,1
EA-BAT245-FEE,EA-BAT245,Baticaloa Lagoon,0,0,0,0,0,1
UV-MON246-FEE,UV-MON246,Rawana Falls,0,0,0,0,0,1
NW-PUT247-FEE,NW-PUT247,Paravi Dupatha Temple,0,0,0,0,0,1
NC-MON248-FEE,NC-MON248,Mihintale,300,150,50,25,25,0
SO-GAM249-FEE,SO-GAM249,Koggala Lake,0,0,0,0,0,1
WE-COL250-FEE,WE-COL250,Independence Memorial Hall,0,0,0,0,0,1
CE-MAT251-FEE,CE-MAT251,Dambulla Cave Temple,1500,750,200,100,100,0
EA-TRI252-FEE,EA-TRI252,Trincomalee Harbour,0,0,0,0,0,1
UV-BAD253-FEE,UV-BAD253,Demodara Nine Arch Bridge,0,0,0,0,0,1
NW-KUR254-FEE,NW-KUR254,Ethagala Rock,0,0,0,0,0,1
SO-HAM255-FEE,SO-HAM255,Yala National Park,3500,1800,300,150,150,0
WE-NEG256-FEE,WE-NEG256,St. Mary's Church,0,0,0,0,0,1
NC-MON257-FEE,NC-MON257,Thuparamaya Dagoba,0,0,0,0,0,1
SO-GAM258-FEE,SO-GAM258,Kanneliya Rainforest Reserve,3000,1500,250,125,125,0
CE-KAN259-FEE,CE-KAN259,Udawattakele Forest Reserve,0,0,0,0,0,1
EA-TRI260-FEE,EA-TRI260,Fort Frederick,0,0,0,0,0,1
UV-MON261-FEE,UV-MON261,St. Clair's Falls,0,0,0,0,0,1
NW-PUT262-FEE,NW-PUT262,Mundal Lake,0,0,0,0,0,1
SO-HAM263-FEE,SO-HAM263,Rahulana National Park,3500,1800,300,150,150,0
WE-COL264-FEE,WE-COL264,Borella Cemetery,0,0,0,0,0,1
NC-MON265-FEE,NC-MON265,Isurupaya Archaeological Site,0,0,0,0,0,1
CE-MAT266-FEE,CE-MAT266,Handunugoda Tea Estate,0,0,0,0,0,1
EA-BAT267-FEE,EA-BAT267,Passikudah Bay,0,0,0,0,0,1
UV-BAD268-FEE,UV-BAD268,Little Adam?s Peak,0,0,0,0,0,1
NW-KUR269-FEE,NW-KUR269,Ritigala Forest Reserve,0,0,0,0,0,1
SO-GAM270-FEE,SO-GAM270,Kushtarajagala,0,0,0,0,0,1
CE-MAT271-FEE,CE-MAT271,Minneriya National Park,3500,1800,300,150,150,0
NW-PUT272-FEE,NW-PUT272,Chilaw Lagoon,0,0,0,0,0,1
WE-COL273-FEE,WE-COL273,Galle Face Green,0,0,0,0,0,1
SO-HAM274-FEE,SO-HAM274,Bundala National Park,3500,1800,300,150,150,0
EA-TRI275-FEE,EA-TRI275,Koneswaram Temple,0,0,0,0,0,1
UV-BAD276-FEE,UV-BAD276,Bakamuna Ancient City,0,0,0,0,0,1
NC-MON277-FEE,NC-MON277,Wilpattu National Park,3500,1800,300,150,150,0
CE-KAN278-FEE,CE-KAN278,Tea Museum,0,0,0,0,0,1
NW-KUR279-FEE,NW-KUR279,Ridiyagama Safari Park,3500,1800,300,150,150,0
SO-GAM280-FEE,SO-GAM280,Unawatuna Beach,0,0,0,0,0,1
WE-COL281-FEE,WE-COL281,Gangaramaya Temple,0,0,0,0,0,1
EA-BAT282-FEE,EA-BAT282,Chenkalady Lagoon,0,0,0,0,0,1
UV-BAD283-FEE,UV-BAD283,Ravana Falls,0,0,0,0,0,1
NC-MON284-FEE,NC-MON284,Jaya Sri Maha Bodhi,0,0,0,0,0,1
CE-MAT285-FEE,CE-MAT285,Pidurangala Rock,0,0,0,0,0,1
NW-PUT286-FEE,NW-PUT286,Kapparagaha Temple,0,0,0,0,0,1
SO-HAM287-FEE,SO-HAM287,Tissa Wewa,0,0,0,0,2,1
WE-NEG288-FEE,WE-NEG288,Negombo Beach,0,0,0,0,0,1
EA-TRI289-FEE,EA-TRI289,Mahaweli River Trincomalee,0,0,0,0,0,1
UV-BAD290-FEE,UV-BAD290,Ella Rock,0,0,0,0,0,1
NC-MON291-FEE,NC-MON291,Sigiriya Rock Fortress,3500,1800,300,150,150,0
CE-KAN292-FEE,CE-KAN292,Kandy Lake,0,0,0,0,1,1
NW-KUR293-FEE,NW-KUR293,Angurukaramulla Temple,0,0,0,0,0,1
SO-GAM294-FEE,SO-GAM294,Galle Dutch Fort,0,0,0,0,0,1
WE-COL295-FEE,WE-COL295,National Museum Colombo,0,0,0,0,0,1
EA-BAT296-FEE,EA-BAT296,Arugam Bay,0,0,0,0,0,1
UV-BAD297-FEE,UV-BAD297,Tea Plantations,0,0,0,0,0,1
NC-MON298-FEE,NC-MON298,Ruwanwelisaya Stupa,0,0,0,0,0,1
CE-MAT299-FEE,CE-MAT299,Sigiriya Museum,0,0,0,0,0,1
NW-PUT300-FEE,NW-PUT300,Wilpaththu Lagoon,0,0,0,0,0,1
